Supplier Name,Assigned Supplier ID,Assigned Supplier Name,Item Code / SKU,Item Key,Item Name,Category ID,Category Name,Category / Size / Type,Category Box Qty,Final PO Boxes,Velocity Class,Sales Trend,Consistency Class,Current Stock Qty,Relevant Velocity Qty,Suggested Target Cover Months,Final PO Quantity,Stock After PO Qty,Stock Cover After PO Months,Purchase Price,Total Amount,Purchase Priority,Stock Risk Level,Reason
RAHMA Associates,SUP-0001,RAHMA Associates,VB-19070(0.45MMX22MM),VB-19070(0.45MMX22MM),VB-19070(0.45MMX22MM),CAT-0001,Uncategorized,Uncategorized,0.0,1.0,Very Fast Moving,Strong Upward Trend,Irregular,6050.0,2066.6666666666665,3.5,1300.0,7350.0,3.556451612903226,3.48,4524.0,High,Medium Stock Risk,
RAHMA Associates,SUP-0001,RAHMA Associates,2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),CAT-0001,Uncategorized,Uncategorized,0.0,1.0,Medium Moving,New Moving Item,Irregular,250.0,350.0,2.5,750.0,1000.0,2.857142857142857,8.91,6682.5,High,High Stock Risk,
RAHMA Associates,SUP-0001,RAHMA Associates,VAY BAND 1873 0.5MMX40MM,VAY BAND 1873 0.5MMX40MM,VAY BAND 1873 0.5MMX40MM,CAT-0001,Uncategorized,Uncategorized,0.0,0.0,Medium Moving,Strong Upward Trend,Irregular,100.0,166.66666666666666,2.5,317.0,417.0,2.5020000000000002,8.26,2618.42,High,High Stock Risk,
RAHMA Associates,SUP-0001,RAHMA Associates,19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),CAT-0004,RX-VAYBAND-SOLID-GLOSSY-0.5*22,RX-VAYBAND-SOLID-GLOSSY-0.5*22,1300.0,1.0,Medium Moving,New Moving Item,Irregular,400.0,400.0,2.5,1300.0,1700.0,4.25,5.7,7410.0,Medium,Overstock Risk,
Unknown Supplier,,Unknown Supplier,VAY G-PROFILE BLACK 10 FT-1050 GRM,VAY G-PROFILE BLACK 10 FT-1050 GRM,VAY G-PROFILE BLACK 10 FT-1050 GRM,CAT-0001,Uncategorized,Uncategorized,0.0,0.0,Slow Moving,New Moving Item,Irregular,0.0,30.0,1.0,30.0,30.0,1.0,580.0,17400.0,Medium,Medium Stock Risk,
Unknown Supplier,,Unknown Supplier,VAY G-PROFILE BLACK 10 FT-1250 GRM,VAY G-PROFILE BLACK 10 FT-1250 GRM,VAY G-PROFILE BLACK 10 FT-1250 GRM,CAT-0001,Uncategorized,Uncategorized,0.0,0.0,Slow Moving,New Moving Item,Irregular,1.0,26.666666666666668,1.0,26.0,27.0,1.0125,641.0,16666.0,Medium,Medium Stock Risk,
RAHMA Associates,SUP-0001,RAHMA Associates,10659 (0.45X40MM),10659 (0.45X40MM),10659 (0.45X40MM),CAT-0001,Uncategorized,Uncategorized,0.0,0.0,Slow Moving,New Moving Item,One-time Sale,0.0,8.333333333333334,1.0,9.0,9.0,1.0799999999999998,7.37,66.33,Medium,Medium Stock Risk,
RAHMA Associates,SUP-0001,RAHMA Associates,VB-2892 MT(.45X22MM),VB-2892 MT(.45X22MM),VB-2892 MT(.45X22MM),CAT-0001,Uncategorized,Uncategorized,0.0,7.0,Very Fast Moving,Strong Upward Trend,Irregular,10600.0,5266.666666666667,3.5,9100.0,19700.0,3.740506329113924,3.48,31668.0,No Purchase,Overstock Risk,
RAHMA Associates,SUP-0001,RAHMA Associates,VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,CAT-0001,Uncategorized,Uncategorized,0.0,2.0,Very Fast Moving,Strong Upward Trend,Irregular,3550.0,1466.6666666666667,3.5,2600.0,6150.0,4.193181818181818,2.71,7046.0,No Purchase,Overstock Risk,
RAHMA Associates,SUP-0001,RAHMA Associates,1140 HG (BAGE),1140 HG (BAGE),1140 HG (BAGE),CAT-0001,Uncategorized,Uncategorized,0.0,0.0,Very Fast Moving,New Moving Item,Irregular,1750.0,1033.3333333333333,3.5,1867.0,3617.0,3.5003225806451614,5.7,10641.9,No Purchase,Overstock Risk,
